Damaged_Parts,Severity,Cost_Repair_Euros
"Fender, Dickey, Bonnet, Windshield, Bumper, Light",moderate,366
"Light, Bumper, Door, Bonnet, Fender, Dickey",moderate,420
Bonnet,severe,146
"Windshield, Bumper, Door, Fender, Bonnet, Dickey, Light",minor,266
"Bonnet, Fender, Dickey, Door",moderate,264
"Dickey, Bonnet, Fender, Windshield, Bumper, Door, Light",severe,980
"Bonnet, Door, Windshield, Fender, Dickey",minor,190
"Door, Bonnet, Light, Dickey, Windshield, Fender, Bumper",minor,266
Windshield,severe,134
"Light, Door, Bonnet, Dickey, Windshield, Fender",moderate,498
Bumper,minor,21
"Door, Bonnet, Windshield",minor,150
"Door, Bonnet, Bumper, Light, Dickey, Windshield",minor,216
"Door, Fender",moderate,126
"Fender, Bonnet",minor,90
"Windshield, Bonnet",severe,220
"Light, Bumper",severe,266
"Bonnet, Bumper, Fender, Light, Windshield, Dickey",minor,234
Light,moderate,68
"Dickey, Bumper, Door, Windshield",severe,440
"Fender, Door, Bonnet, Light, Windshield",moderate,420
"Dickey, Bonnet",severe,298
"Bumper, Bonnet, Fender, Door, Dickey, Light, Windshield",moderate,441
"Light, Windshield, Bumper, Bonnet, Fender",severe,635
"Light, Door, Fender, Windshield, Bonnet, Dickey",moderate,534
"Fender, Light",minor,44
"Bonnet, Bumper, Light, Dickey",moderate,216
"Bonnet, Windshield, Light, Bumper, Fender, Door",severe,798
"Door, Bumper, Fender",minor,141
"Bumper, Dickey, Windshield, Door, Light, Fender, Bonnet",minor,175
"Dickey, Bonnet, Bumper",severe,303
"Dickey, Fender, Door",severe,345
"Bumper, Windshield",minor,46
"Fender, Door, Bumper, Bonnet, Dickey, Light, Windshield",severe,763
"Light, Dickey, Door, Bumper, Fender, Windshield, Bonnet",severe,770
"Fender, Door",minor,96
"Fender, Bumper, Windshield, Dickey, Bonnet, Door",severe,798
"Fender, Bumper, Dickey, Door, Bonnet",minor,210
"Light, Fender, Bonnet, Dickey, Door, Windshield",minor,282
"Door, Dickey, Bumper, Windshield",severe,564
"Fender, Windshield, Bonnet, Light",minor,184
"Bonnet, Dickey, Bumper, Light",minor,124
"Bumper, Fender, Bonnet, Light, Dickey, Windshield",moderate,324
Windshield,severe,150
"Windshield, Bonnet, Fender",minor,147
"Door, Dickey, Windshield, Bonnet, Fender",moderate,490
"Light, Windshield, Dickey, Bonnet",severe,488
"Light, Bumper, Fender",minor,114
"Light, Windshield, Dickey",moderate,192
"Door, Fender",severe,298
Bonnet,severe,104
Door,severe,150
"Bumper, Light, Fender",severe,375
"Dickey, Light",moderate,168
"Windshield, Bumper, Door",severe,444
"Windshield, Bonnet, Door, Dickey, Bumper, Light, Fender",severe,854
Bonnet,minor,39
"Dickey, Bumper, Windshield",minor,81
"Fender, Door",severe,256
"Windshield, Fender, Bonnet",moderate,249
"Windshield, Bonnet, Bumper, Dickey, Light, Door, Fender",moderate,392
"Door, Bumper, Dickey, Windshield, Bonnet, Light",minor,216
Light,severe,120
"Bonnet, Door, Fender, Bumper, Dickey, Windshield, Light",moderate,385
"Bonnet, Dickey, Fender, Bumper",moderate,384
"Windshield, Bumper, Bonnet, Light, Fender, Door",severe,708
"Light, Dickey, Bonnet, Fender, Windshield",moderate,310
"Fender, Door, Dickey, Bumper",minor,188
Windshield,severe,136
"Light, Fender, Dickey, Door, Bonnet, Bumper",moderate,516
"Bonnet, Fender",severe,248
"Dickey, Bonnet, Windshield, Light, Fender, Bumper",moderate,468
"Dickey, Bumper, Fender",severe,357
Bumper,moderate,62
"Dickey, Windshield, Fender",severe,447
"Bonnet, Windshield, Bumper, Dickey",minor,152
"Light, Dickey, Door, Bumper, Windshield",severe,740
"Light, Dickey, Door",severe,306
"Dickey, Bumper, Bonnet, Windshield, Door, Fender",severe,864
"Windshield, Light, Door, Bonnet, Fender",severe,560
"Windshield, Door, Light, Bonnet, Bumper, Fender",moderate,378
"Fender, Dickey, Bumper, Windshield, Light, Door",moderate,318
Light,minor,23
"Bonnet, Light",severe,264
"Light, Fender, Dickey, Bonnet",minor,180
"Dickey, Fender, Bumper, Bonnet, Windshield",minor,120
"Door, Dickey, Fender, Windshield, Light",moderate,340
"Bonnet, Windshield, Door, Light",moderate,232
"Fender, Bonnet, Light",severe,360
"Bumper, Dickey",moderate,154
"Bumper, Dickey, Windshield, Door",minor,156
"Windshield, Fender, Light, Bumper",minor,192
"Bumper, Bonnet, Door",minor,90
"Windshield, Light, Door, Fender",minor,192
"Door, Dickey, Bumper, Bonnet, Light, Fender",moderate,306
"Windshield, Fender, Light, Dickey",minor,196
"Light, Fender, Door, Bumper, Windshield, Bonnet, Dickey",minor,231
Dickey,severe,148
"Bumper, Fender",severe,204
"Dickey, Door, Bonnet",severe,366
"Fender, Bumper, Door, Dickey, Windshield, Light, Bonnet",moderate,490
Light,moderate,90
"Door, Bonnet, Bumper, Windshield, Dickey, Light, Fender",moderate,385
"Windshield, Light, Bonnet, Bumper, Dickey, Door, Fender",minor,189
Dickey,moderate,86
"Door, Fender, Windshield, Dickey, Bonnet",moderate,490
"Bonnet, Bumper",moderate,100
"Windshield, Bonnet, Fender, Dickey",minor,148
Door,severe,108
"Windshield, Bonnet, Light, Door, Fender, Dickey",severe,696
"Bonnet, Light, Fender, Windshield, Dickey, Door, Bumper",minor,336
"Dickey, Door, Bumper, Windshield, Fender, Light, Bonnet",minor,336
"Dickey, Fender, Bonnet, Bumper",minor,144
"Light, Dickey, Windshield, Door, Bonnet, Fender, Bumper",moderate,420
Bonnet,minor,45
"Door, Bonnet, Dickey, Fender, Windshield, Bumper",minor,174
"Light, Fender, Dickey",moderate,222
"Bumper, Light, Dickey, Door, Windshield, Bonnet, Fender",moderate,469
"Bumper, Dickey, Fender, Bonnet",severe,428
Windshield,severe,147
"Door, Fender, Windshield, Bonnet, Dickey, Bumper, Light",moderate,350
"Dickey, Light, Bumper, Bonnet, Windshield",moderate,460
"Bumper, Fender, Door, Light, Windshield, Dickey, Bonnet",minor,287
"Bumper, Windshield, Light",severe,414
"Bonnet, Light, Fender, Dickey, Door, Bumper",minor,300
"Bumper, Dickey, Windshield, Bonnet, Light",severe,510
"Bonnet, Fender, Windshield, Dickey, Light, Door",severe,702
"Door, Bonnet, Fender, Dickey, Bumper, Light, Windshield",moderate,609
"Fender, Door, Light",moderate,243
"Dickey, Fender",moderate,102
"Windshield, Light, Dickey, Bumper",minor,100
"Bumper, Light, Windshield, Fender",moderate,332
"Dickey, Windshield, Light",moderate,207
Bumper,moderate,91
Door,minor,36
"Fender, Door, Windshield",severe,390
Windshield,severe,109
"Light, Dickey, Bonnet, Fender, Bumper, Door, Windshield",moderate,616
"Windshield, Door, Fender, Dickey, Light, Bumper",moderate,366
Fender,severe,113
"Windshield, Dickey, Bumper, Door",minor,184
"Fender, Light, Bonnet",severe,345
Windshield,minor,48
"Windshield, Door, Bonnet, Fender, Dickey, Bumper, Light",moderate,539
Fender,moderate,57
"Bumper, Door, Windshield",severe,435
"Dickey, Bumper, Bonnet, Fender, Windshield, Door",moderate,600
"Door, Light, Fender",moderate,288
"Windshield, Door",minor,52
"Light, Fender, Dickey, Bumper",minor,152
"Light, Bumper, Fender, Windshield, Bonnet, Door, Dickey",severe,847
"Bonnet, Light",moderate,184
"Door, Bumper, Windshield, Fender, Bonnet",minor,240
"Windshield, Door, Light, Fender, Bumper",moderate,420
"Fender, Door, Bonnet, Windshield, Light",severe,560
"Dickey, Windshield, Bumper",moderate,189
"Fender, Dickey, Windshield, Bumper, Door, Light, Bonnet",severe,854
"Fender, Dickey, Bonnet, Windshield",moderate,284
Dickey,moderate,80
"Bumper, Light, Dickey",severe,381
"Bonnet, Bumper, Door",minor,120
"Bumper, Windshield",severe,288
"Bonnet, Light",minor,44
Door,moderate,75
"Door, Light, Bonnet, Dickey",minor,180
"Light, Bumper, Door",moderate,207
"Bumper, Windshield, Fender",severe,348
Dickey,minor,22
Door,minor,25
"Bumper, Door, Dickey",minor,105
"Bumper, Fender, Door, Dickey, Windshield, Bonnet",moderate,462
"Light, Bonnet, Bumper, Door, Windshield, Dickey, Fender",severe,973
"Dickey, Bumper, Windshield, Door",moderate,368
"Dickey, Windshield, Bonnet, Light, Fender",minor,120
"Dickey, Fender, Bonnet, Door, Windshield, Light",severe,636
"Light, Bumper, Bonnet, Dickey, Fender, Windshield, Door",moderate,420
"Light, Bumper, Windshield",severe,426
"Bonnet, Dickey, Bumper, Windshield",severe,536
"Light, Door",minor,40
Bumper,moderate,91
"Dickey, Windshield, Bumper, Fender, Bonnet",moderate,425
"Bumper, Fender, Bonnet, Dickey",minor,196
"Door, Dickey, Windshield, Fender, Light, Bonnet, Bumper",severe,868
"Light, Dickey",severe,222
"Windshield, Bonnet",minor,68
"Fender, Light, Bonnet, Bumper, Windshield, Door, Dickey",minor,301
"Light, Fender, Windshield, Dickey, Bonnet, Bumper, Door",minor,315
"Windshield, Fender, Dickey, Bonnet, Light, Door, Bumper",minor,294
Fender,minor,43
"Light, Dickey, Fender, Door, Bumper, Windshield",severe,822
"Windshield, Fender, Dickey, Light, Bumper, Door, Bonnet",moderate,378
Light,moderate,81
"Door, Bumper, Windshield, Dickey, Fender, Bonnet",moderate,510
"Light, Bonnet, Windshield, Bumper",moderate,256
"Bumper, Fender, Door, Light",severe,516
"Dickey, Bonnet, Windshield, Bumper, Light",minor,210
"Fender, Bumper",severe,226
"Bumper, Door, Light, Windshield",minor,140
"Bumper, Windshield, Door, Fender",minor,124
"Fender, Bonnet, Light",severe,333
"Windshield, Light, Fender, Dickey, Door, Bonnet",severe,762
"Dickey, Windshield, Light",severe,441
Dickey,minor,27
"Windshield, Fender, Door, Bumper, Light",moderate,430
"Windshield, Light",minor,88
"Bonnet, Door, Light, Bumper, Dickey",severe,605
"Light, Door, Fender, Dickey, Windshield, Bumper",minor,162
"Windshield, Fender, Dickey",moderate,174
"Bonnet, Windshield, Light, Bumper",minor,160
"Bumper, Fender, Light, Dickey",moderate,392
Windshield,severe,149
"Windshield, Door, Light, Bumper, Dickey, Fender",severe,624
"Windshield, Door, Light, Fender, Dickey",moderate,350
"Bumper, Dickey, Door, Bonnet",minor,92
Windshield,severe,104
"Bumper, Dickey, Light, Door",minor,192
"Fender, Bonnet, Windshield, Bumper",moderate,264
"Bonnet, Bumper",minor,40
Dickey,minor,50
"Light, Bonnet, Fender, Dickey, Windshield",moderate,310
"Bonnet, Windshield, Bumper, Door",severe,520
"Light, Bumper, Dickey, Windshield, Bonnet, Fender, Door",severe,728
"Light, Windshield, Bumper, Fender, Door, Bonnet, Dickey",minor,224
Bumper,moderate,91
"Light, Fender, Dickey, Bumper, Windshield, Bonnet",minor,168
"Bonnet, Dickey",severe,280
Light,minor,21
"Windshield, Fender, Bonnet, Light, Dickey",moderate,385
"Dickey, Windshield, Bonnet, Bumper, Fender",severe,705
"Fender, Dickey, Light, Bonnet",severe,508
Door,minor,32
Light,severe,120
"Bonnet, Door, Bumper, Dickey, Light, Fender",severe,678
"Fender, Door, Bumper, Dickey",moderate,272
"Fender, Bumper, Door, Dickey, Windshield, Light",minor,240
"Bumper, Windshield",minor,80
"Bonnet, Light, Dickey",minor,123
"Dickey, Bonnet, Windshield",severe,345
"Fender, Dickey, Bumper, Door",severe,560
"Door, Windshield, Bonnet",minor,111
"Door, Dickey, Bumper, Bonnet, Windshield, Fender",minor,300
"Bumper, Windshield, Door, Fender, Light",minor,175
"Bonnet, Light, Door, Bumper, Fender",severe,635
"Fender, Bumper",moderate,140
"Dickey, Windshield",severe,232
"Bonnet, Fender, Dickey, Light, Windshield",severe,750
"Dickey, Bumper, Fender, Door, Bonnet, Light, Windshield",minor,259
"Fender, Windshield, Door, Dickey, Light",severe,690
"Windshield, Dickey, Bumper, Bonnet, Light, Door, Fender",minor,329
"Windshield, Fender, Light, Bonnet, Bumper, Door",minor,252
"Bonnet, Dickey",severe,276
"Bumper, Windshield",minor,40
Door,moderate,75
Bonnet,minor,24
"Fender, Light, Dickey",minor,93
"Light, Door, Bonnet, Bumper, Fender, Windshield, Dickey",minor,336
Bumper,minor,43
"Light, Windshield",moderate,188
"Windshield, Bumper, Light, Bonnet, Fender, Door, Dickey",severe,728
"Fender, Light, Bonnet, Door, Bumper",moderate,395
"Bonnet, Bumper, Door, Windshield, Light, Dickey, Fender",severe,931
"Fender, Dickey",severe,290
"Light, Door, Windshield, Fender, Dickey, Bonnet",moderate,378
"Bumper, Fender, Windshield",severe,300
"Fender, Dickey, Bumper",minor,90
"Dickey, Bonnet, Windshield, Door, Light",minor,100
"Dickey, Door, Bumper, Bonnet, Windshield",severe,730
"Dickey, Fender, Windshield, Bumper, Light, Door, Bonnet",severe,994
"Windshield, Fender, Bonnet",minor,108
"Dickey, Door, Windshield",minor,147
"Light, Fender, Dickey, Bonnet, Door, Bumper",moderate,510
"Light, Bumper, Dickey, Windshield",minor,148
"Dickey, Door, Fender",minor,120
"Bonnet, Dickey",minor,70
"Bumper, Fender, Light, Door",moderate,376
"Light, Windshield, Dickey, Door",minor,136
"Light, Fender",minor,68
"Fender, Bonnet, Light, Windshield, Door, Dickey, Bumper",severe,882
"Light, Windshield, Fender, Bumper, Bonnet",minor,250
"Dickey, Door, Light, Bumper, Bonnet, Windshield",minor,228
"Windshield, Fender, Bonnet, Dickey, Door, Bumper",minor,156
"Bumper, Light, Windshield, Fender, Dickey, Bonnet",moderate,312
"Door, Bumper, Windshield",minor,72
Dickey,moderate,59
"Fender, Light, Windshield, Bumper",minor,148
Fender,moderate,94
Light,severe,135
"Light, Windshield, Bumper, Fender, Dickey, Bonnet",minor,222
"Fender, Light, Bumper",severe,330
"Bonnet, Windshield, Light",moderate,201
"Windshield, Bumper, Dickey, Fender, Door, Bonnet, Light",minor,259
"Bonnet, Bumper, Dickey",minor,141
"Bonnet, Light, Dickey",moderate,222
"Bumper, Fender, Bonnet, Dickey",minor,144
"Light, Door, Bonnet, Fender, Windshield, Dickey, Bumper",moderate,595
"Fender, Bonnet, Door, Light, Bumper",moderate,470
"Bonnet, Light, Door, Bumper, Dickey, Fender",severe,774
"Bonnet, Bumper",moderate,180
"Bonnet, Light, Windshield, Bumper",minor,176
"Bumper, Dickey, Windshield, Light",minor,124
"Bonnet, Windshield, Fender, Bumper, Dickey, Door, Light",moderate,602
"Windshield, Door, Bumper",minor,111
"Dickey, Light, Fender",severe,429
"Light, Bonnet, Door",moderate,273
"Windshield, Bumper, Bonnet, Dickey, Door",moderate,265
"Dickey, Light",moderate,128
"Bonnet, Bumper, Windshield, Door",moderate,268
"Bumper, Windshield, Door, Light, Dickey, Bonnet, Fender",severe,861
"Light, Bumper, Windshield, Bonnet, Door, Dickey, Fender",moderate,427
Bumper,severe,125
"Bumper, Bonnet, Door, Dickey, Light",severe,665
"Dickey, Fender",severe,290
"Door, Light, Bonnet, Bumper, Fender, Dickey, Windshield",severe,903
"Door, Bumper",minor,84
"Door, Light, Windshield, Bonnet, Fender, Bumper, Dickey",severe,910
"Dickey, Bonnet, Windshield, Door, Fender",moderate,385
"Windshield, Bonnet, Bumper, Door, Fender, Dickey",moderate,336
Dickey,moderate,84
Bonnet,minor,23
"Bumper, Dickey, Windshield, Door, Light, Fender",severe,768
"Bonnet, Fender, Door, Windshield, Dickey, Bumper",moderate,558
"Light, Bumper, Dickey",minor,93
"Fender, Dickey, Door, Light, Bumper",minor,195
"Bumper, Windshield, Door, Fender, Light, Bonnet, Dickey",severe,987
"Bumper, Light, Windshield, Dickey, Bonnet, Fender, Door",moderate,469
"Bonnet, Door, Fender",moderate,234
Dickey,minor,26
"Bonnet, Windshield, Dickey",moderate,162
"Dickey, Windshield, Light, Bumper, Fender",moderate,405
"Bumper, Fender, Bonnet, Dickey",severe,408
Bonnet,minor,41
"Door, Windshield, Bonnet, Light, Dickey, Fender, Bumper",minor,322
"Door, Bonnet",minor,88
"Fender, Light, Windshield, Bonnet, Door, Dickey",minor,168
"Fender, Dickey, Bonnet",moderate,180
"Door, Bumper, Light, Fender, Windshield, Dickey",moderate,438
"Door, Light",moderate,154
"Light, Windshield, Dickey, Fender",severe,560
"Bumper, Bonnet, Fender",minor,69
"Bumper, Bonnet, Light, Fender, Windshield, Door, Dickey",minor,315
"Dickey, Windshield, Bonnet, Fender",moderate,212
"Fender, Door, Light, Windshield",moderate,332
"Door, Fender, Light, Bumper, Windshield, Bonnet",moderate,438
"Fender, Bumper, Bonnet, Dickey, Door, Light, Windshield",moderate,490
"Bonnet, Windshield, Fender, Light, Door",moderate,425
"Light, Door, Dickey, Bonnet",severe,440
Dickey,severe,134
"Light, Windshield, Fender, Door",moderate,392
"Bumper, Door, Light, Windshield, Fender, Bonnet, Dickey",severe,791
"Windshield, Bonnet, Door, Dickey, Light",severe,690
"Windshield, Light, Bumper, Bonnet",moderate,296
"Windshield, Bumper, Dickey, Fender",minor,164
"Fender, Windshield",moderate,170
"Dickey, Bumper",moderate,132
"Bonnet, Bumper, Fender, Light, Dickey, Windshield, Door",minor,273
"Dickey, Bumper, Bonnet, Door, Fender, Light",severe,870
"Dickey, Fender, Light, Windshield",severe,532
Bumper,severe,143
Light,moderate,69
Door,moderate,97
Door,moderate,61
"Dickey, Fender, Light",moderate,171
Bumper,minor,36
"Fender, Bonnet, Bumper, Dickey",severe,488
"Windshield, Fender",moderate,126
"Bumper, Dickey",severe,286
"Bumper, Dickey, Door, Fender, Bonnet",moderate,325
Bumper,severe,127
"Light, Fender",moderate,144
"Windshield, Fender, Light, Dickey, Bonnet",severe,750
"Dickey, Door, Bumper",severe,300
Windshield,severe,133
"Light, Door, Bonnet, Fender, Windshield, Dickey",moderate,426
"Dickey, Fender, Windshield, Light, Door, Bumper, Bonnet",minor,182
"Windshield, Door, Bumper, Dickey, Fender, Bonnet, Light",minor,168
"Windshield, Door, Bumper, Bonnet, Fender, Dickey",severe,762
"Bonnet, Bumper, Windshield, Door, Fender, Light",moderate,372
Bumper,moderate,79
"Light, Dickey, Fender, Windshield",severe,548
"Bonnet, Light, Dickey, Bumper",moderate,296
"Door, Light, Fender",minor,60
"Windshield, Light, Bumper, Dickey, Bonnet",moderate,365
"Door, Fender, Bonnet, Dickey, Windshield",severe,585
"Dickey, Light, Door, Bonnet",severe,420
"Windshield, Bumper, Dickey, Bonnet, Light, Fender, Door",minor,252
"Windshield, Bonnet, Dickey",moderate,195
"Bumper, Windshield, Door, Fender",minor,196
"Bumper, Bonnet, Door, Light, Dickey, Fender",severe,762
"Door, Bumper, Light, Dickey",severe,500
"Dickey, Fender, Bumper",severe,441
"Dickey, Light, Windshield, Fender, Bonnet, Bumper, Door",moderate,665
"Fender, Light, Windshield, Bonnet, Door, Bumper, Dickey",moderate,581
"Door, Fender, Bonnet",moderate,210
"Dickey, Fender, Windshield",severe,438
"Dickey, Bumper, Light, Door, Windshield, Bonnet, Fender",severe,966
"Door, Bumper, Windshield, Dickey, Light, Bonnet, Fender",moderate,532
"Fender, Bumper, Dickey, Bonnet, Windshield, Light",severe,750
"Dickey, Windshield, Bumper, Door, Fender, Light, Bonnet",severe,700
"Bumper, Dickey, Light",moderate,159
"Fender, Bumper, Bonnet, Door, Dickey, Light, Windshield",severe,763
Light,moderate,97
"Fender, Dickey",minor,78
Light,minor,29
"Dickey, Bumper, Door, Fender, Light",moderate,325
"Door, Dickey, Light, Windshield",minor,120
Bonnet,moderate,95
"Light, Dickey, Door, Bumper",moderate,324
Dickey,moderate,63
"Dickey, Bumper, Windshield, Door, Fender",minor,220
"Door, Bumper, Light, Bonnet, Windshield, Fender, Dickey",moderate,350
"Bumper, Fender, Windshield, Dickey, Light",minor,145
"Door, Dickey, Bumper, Fender",severe,448
"Fender, Light, Door, Bumper, Bonnet, Windshield",moderate,306
"Light, Door, Bonnet, Dickey, Windshield, Fender",minor,138
"Dickey, Door, Windshield",moderate,216
"Bumper, Dickey, Fender",moderate,252
"Dickey, Windshield, Light, Fender",minor,124
"Bonnet, Light, Dickey, Bumper",minor,144
"Bumper, Windshield",severe,214
"Dickey, Fender, Light, Door, Windshield, Bumper",severe,810
"Bonnet, Fender, Bumper",moderate,213
"Bumper, Fender, Windshield, Dickey, Light, Door",moderate,396
Bonnet,moderate,86
"Windshield, Bumper, Light, Dickey, Bonnet",minor,175
"Door, Dickey, Windshield, Fender, Light, Bumper",minor,150
Fender,severe,123
"Light, Dickey",severe,252
"Bumper, Door, Fender, Dickey",minor,116
